textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2013-12/31/2013), Quarter 3 (07/01/2013-09/30/2013), Quarter 2 (04/01/2013-06/30/2013), Quarter 1 (01/01/2013-03/31/2013)",All,All,All,2/16/2026 3:18:12 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,SumLawsuitsClosedTot,SumLawsuitsClosedCon,SumLawsuitsOpenBegin,SumLawsuitsOpenEnd,SumLawsuitsOpenTot,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1,Textbox104,Textbox158,Textbox151,Textbox140,Textbox122
Period Ending  3/31/2013,Commercial Residential - (Apartment Buildings) - WIND ONLY,"4,279",124,180,0,0,201,0,"4,018,855,269","27,042,145","4,279",0,"27,042,145",0,128,118,,,,,,,,,,,,,,,,"6,078,151","223,727","99,780",125,"6,871","315,758","369,457","2,012,392,429,961","10,757,768,761","5,708,694","193,440,333,500","10,277,031,756","480,737,005","62,220","57,015",,,,,,,,,,,,,,,
Period Ending  3/31/2013,Commercial Residential - (Condo Associations Only) - WIND ONLY,"6,538",48,757,0,0,832,0,"46,522,686,321","195,730,996","6,538",0,"195,730,996",0,702,595,,,,,,,,,,,,,,,,"6,078,151","223,727","99,780",125,"6,871","315,758","369,457","2,012,392,429,961","10,757,768,761","5,708,694","193,440,333,500","10,277,031,756","480,737,005","62,220","57,015",,,,,,,,,,,,,,,
Period Ending  3/31/2013,Commercial Residential - (Homeowners Association) - WIND ONLY,366,7,33,0,0,41,0,"1,430,825,986","6,114,069",366,0,"6,114,069",0,29,26,,,,,,,,,,,,,,,,"6,078,151","223,727","99,780",125,"6,871","315,758","369,457","2,012,392,429,961","10,757,768,761","5,708,694","193,440,333,500","10,277,031,756","480,737,005","62,220","57,015",,,,,,,,,,,,,,,
Period Ending  3/31/2013,Commercial Residential - Allied Lines (Condo Associations Only),28,0,21,0,0,0,6,"32,293,613","303,173",22,"32,471,684","200,055","103,118",0,0,,,,,,,,,,,,,,,,"6,078,151","223,727","99,780",125,"6,871","315,758","369,457","2,012,392,429,961","10,757,768,761","5,708,694","193,440,333,500","10,277,031,756","480,737,005","62,220","57,015",,,,,,,,,,,,,,,
Period Ending  3/31/2013,Commercial Residential - Allied Lines (Excl Condo Associations),943,10,187,0,0,169,5,"3,158,241,052","9,647,090",938,"9,436,580","9,507,865","139,225",148,133,,,,,,,,,,,,,,,,"6,078,151","223,727","99,780",125,"6,871","315,758","369,457","2,012,392,429,961","10,757,768,761","5,708,694","193,440,333,500","10,277,031,756","480,737,005","62,220","57,015",,,,,,,,,,,,,,,
Period Ending  3/31/2013,Commercial Residential - CMP (Condo Associations Only),"8,353",315,"1,064",0,9,"1,493","1,781","76,445,909,429","434,878,352","6,572","13,153,831,582","420,299,054","14,579,298",0,0,,,,,,,,,,,,,,,,"6,078,151","223,727","99,780",125,"6,871","315,758","369,457","2,012,392,429,961","10,757,768,761","5,708,694","193,440,333,500","10,277,031,756","480,737,005","62,220","57,015",,,,,,,,,,,,,,,
Period Ending  3/31/2013,Commercial Residential - CMP (Excl Condo Associations),"39,065","1,141",451,0,46,294,"5,152","13,603,901,818","73,615,147","33,913","3,255,942,213","65,110,174","8,504,973",12,10,,,,,,,,,,,,,,,,"6,078,151","223,727","99,780",125,"6,871","315,758","369,457","2,012,392,429,961","10,757,768,761","5,708,694","193,440,333,500","10,277,031,756","480,737,005","62,220","57,015",,,,,,,,,,,,,,,
Period Ending  3/31/2013,Commercial Residential - Dwelling/Fire (Condo Associations Only),"5,102",147,162,0,7,170,173,"44,889,201,633","241,673,526","4,929","642,311,900","240,516,343","1,157,183",0,0,,,,,,,,,,,,,,,,"6,078,151","223,727","99,780",125,"6,871","315,758","369,457","2,012,392,429,961","10,757,768,761","5,708,694","193,440,333,500","10,277,031,756","480,737,005","62,220","57,015",,,,,,,,,,,,,,,
Period Ending  3/31/2013,Commercial Residential - Dwelling/Fire (Excl Condo Associations),"3,242",93,92,0,0,168,170,"10,657,467,035","56,603,488","3,072","333,526,688","56,068,412","535,076",3,3,,,,,,,,,,,,,,,,"6,078,151","223,727","99,780",125,"6,871","315,758","369,457","2,012,392,429,961","10,757,768,761","5,708,694","193,440,333,500","10,277,031,756","480,737,005","62,220","57,015",,,,,,,,,,,,,,,
Period Ending  3/31/2013,Personal Residential - Allied Lines,"51,066","3,591",149,0,0,"2,721",856,"8,275,925,519","60,805,751","50,210","2,439,556,522","53,906,551","6,899,200",0,0,,,,,,,,,,,,,,,,"6,078,151","223,727","99,780",125,"6,871","315,758","369,457","2,012,392,429,961","10,757,768,761","5,708,694","193,440,333,500","10,277,031,756","480,737,005","62,220","57,015",,,,,,,,,,,,,,,
