textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2015-12/31/2015), Quarter 3 (07/01/2015-09/30/2015), Quarter 2 (04/01/2015-06/30/2015), Quarter 1 (01/01/2015-03/31/2015)",All,All,All,2/16/2026 3:16:00 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,SumLawsuitsClosedTot,SumLawsuitsClosedCon,SumLawsuitsOpenBegin,SumLawsuitsOpenEnd,SumLawsuitsOpenTot,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1,Textbox104,Textbox158,Textbox151,Textbox140,Textbox122
Period Ending  3/31/2015,Commercial Residential - (Apartment Buildings) - WIND ONLY,"2,926",122,46,0,0,71,0,"2,712,803,576","20,337,456","2,926",0,"20,337,456",0,8,50,,,,,,,,,,,,,,,,"5,830,897","215,819","92,786",11,119,"350,146","335,897","1,889,744,848,589","10,204,128,739","5,495,000","165,602,054,989","9,789,161,763","414,966,977","153,941","161,396",,,,,,,,,,,,,,,
Period Ending  3/31/2015,Commercial Residential - (Condo Associations Only) - WIND ONLY,"4,019",126,183,0,0,63,0,"22,243,789,091","96,894,980","4,019",0,"96,894,980",0,40,209,,,,,,,,,,,,,,,,"5,830,897","215,819","92,786",11,119,"350,146","335,897","1,889,744,848,589","10,204,128,739","5,495,000","165,602,054,989","9,789,161,763","414,966,977","153,941","161,396",,,,,,,,,,,,,,,
Period Ending  3/31/2015,Commercial Residential - (Homeowners Association) - WIND ONLY,236,6,7,0,0,0,0,"925,109,480","3,831,598",236,0,"3,831,598",0,1,3,,,,,,,,,,,,,,,,"5,830,897","215,819","92,786",11,119,"350,146","335,897","1,889,744,848,589","10,204,128,739","5,495,000","165,602,054,989","9,789,161,763","414,966,977","153,941","161,396",,,,,,,,,,,,,,,
Period Ending  3/31/2015,Commercial Residential - Allied Lines (Condo Associations Only),"4,355",31,135,0,0,255,0,"46,940,800,204","303,519,843","4,355",0,"303,519,843",0,13,28,,,,,,,,,,,,,,,,"5,830,897","215,819","92,786",11,119,"350,146","335,897","1,889,744,848,589","10,204,128,739","5,495,000","165,602,054,989","9,789,161,763","414,966,977","153,941","161,396",,,,,,,,,,,,,,,
Period Ending  3/31/2015,Commercial Residential - Allied Lines (Excl Condo Associations),557,9,26,0,0,23,2,"4,612,351,487","19,046,459",555,"31,716,043","19,039,222","7,237",9,22,,,,,,,,,,,,,,,,"5,830,897","215,819","92,786",11,119,"350,146","335,897","1,889,744,848,589","10,204,128,739","5,495,000","165,602,054,989","9,789,161,763","414,966,977","153,941","161,396",,,,,,,,,,,,,,,
Period Ending  3/31/2015,Commercial Residential - CMP (Condo Associations Only),"4,592",256,130,0,0,237,"1,621","36,859,207,436","158,729,673","2,971","10,698,292,015","145,891,722","12,837,951",1,1,,,,,,,,,,,,,,,,"5,830,897","215,819","92,786",11,119,"350,146","335,897","1,889,744,848,589","10,204,128,739","5,495,000","165,602,054,989","9,789,161,763","414,966,977","153,941","161,396",,,,,,,,,,,,,,,
Period Ending  3/31/2015,Commercial Residential - CMP (Excl Condo Associations),"6,266",186,75,0,0,153,814,"6,163,366,444","29,204,750","5,452","986,789,377","25,951,707","3,253,043",6,5,,,,,,,,,,,,,,,,"5,830,897","215,819","92,786",11,119,"350,146","335,897","1,889,744,848,589","10,204,128,739","5,495,000","165,602,054,989","9,789,161,763","414,966,977","153,941","161,396",,,,,,,,,,,,,,,
Period Ending  3/31/2015,Commercial Residential - Dwelling/Fire (Condo Associations Only),"4,452",108,352,0,0,137,136,"36,720,990,725","185,329,389","4,316","323,801,700","184,854,476","474,913",442,"1,110",,,,,,,,,,,,,,,,"5,830,897","215,819","92,786",11,119,"350,146","335,897","1,889,744,848,589","10,204,128,739","5,495,000","165,602,054,989","9,789,161,763","414,966,977","153,941","161,396",,,,,,,,,,,,,,,
Period Ending  3/31/2015,Commercial Residential - Dwelling/Fire (Excl Condo Associations),"2,263",77,55,0,0,32,144,"7,759,848,291","39,061,789","2,119","350,213,426","38,490,525","571,264",62,89,,,,,,,,,,,,,,,,"5,830,897","215,819","92,786",11,119,"350,146","335,897","1,889,744,848,589","10,204,128,739","5,495,000","165,602,054,989","9,789,161,763","414,966,977","153,941","161,396",,,,,,,,,,,,,,,
Period Ending  3/31/2015,Personal Residential - Allied Lines,"47,958","2,256","1,187",0,0,"4,360","1,728","7,718,553,149","66,488,422","46,230","2,768,131,359","58,265,043","8,223,379",0,0,,,,,,,,,,,,,,,,"5,830,897","215,819","92,786",11,119,"350,146","335,897","1,889,744,848,589","10,204,128,739","5,495,000","165,602,054,989","9,789,161,763","414,966,977","153,941","161,396",,,,,,,,,,,,,,,
Period Ending  3/31/2015,Personal Residential - Allied Lines - WIND ONLY DWELLINGS,"22,722",445,568,0,0,643,0,"7,549,478,903","46,685,646","22,722",0,"46,685,646",0,0,19,,,,,,,,,,,,,,,,"5,830,897","215,819","92,786",11,119,"350,146","335,897","1,889,744,848,589","10,204,128,739","5,495,000","165,602,054,989","9,789,161,763","414,966,977","153,941","161,396",,,,,,,,,,,,,,,
Period Ending  3/31/2015,Personal Residential - Condominium Unit Owners,"770,877","23,090","14,944",2,13,"43,775","95,661","73,215,181,325","714,075,315","675,216","18,245,604,835","641,235,371","72,839,944","14,921","15,431",,,,,,,,,,,,,,,,"5,830,897","215,819","92,786",11,119,"350,146","335,897","1,889,744,848,589","10,204,128,739","5,495,000","165,602,054,989","9,789,161,763","414,966,977","153,941","161,396",,,,,,,,,,,,,,,
