textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2012-12/31/2012), Quarter 3 (07/01/2012-09/30/2012), Quarter 2 (04/01/2012-06/30/2012), Quarter 1 (01/01/2012-03/31/2012)",All,All,All,2/16/2026 3:19:07 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,SumLawsuitsClosedTot,SumLawsuitsClosedCon,SumLawsuitsOpenBegin,SumLawsuitsOpenEnd,SumLawsuitsOpenTot,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1,Textbox104,Textbox158,Textbox151,Textbox140,Textbox122
Period Ending  3/31/2012,Commercial Residential - (Apartment Buildings) - WIND ONLY,"4,690",109,96,0,0,61,0,"3,915,106,337","24,852,612","4,690",0,"24,852,612",0,0,0,,,,,,,,,,,,,,,,"6,094,080","237,996","117,948",14,"7,209","333,174","365,481","2,068,118,627,706","10,438,299,692","5,728,599","198,627,028,174","9,957,487,130","480,812,562","68,635","66,867",,,,,,,,,,,,,,,
Period Ending  3/31/2012,Commercial Residential - (Condo Associations Only) - WIND ONLY,"6,771",64,197,0,0,242,0,"46,935,222,289","188,130,518","6,771",0,"188,130,518",0,0,0,,,,,,,,,,,,,,,,"6,094,080","237,996","117,948",14,"7,209","333,174","365,481","2,068,118,627,706","10,438,299,692","5,728,599","198,627,028,174","9,957,487,130","480,812,562","68,635","66,867",,,,,,,,,,,,,,,
Period Ending  3/31/2012,Commercial Residential - (Homeowners Association) - WIND ONLY,392,4,11,0,0,20,0,"1,495,562,058","5,986,920",392,0,"5,986,920",0,0,0,,,,,,,,,,,,,,,,"6,094,080","237,996","117,948",14,"7,209","333,174","365,481","2,068,118,627,706","10,438,299,692","5,728,599","198,627,028,174","9,957,487,130","480,812,562","68,635","66,867",,,,,,,,,,,,,,,
Period Ending  3/31/2012,Commercial Residential - Allied Lines (Condo Associations Only),70,2,33,0,0,21,17,"81,096,456","503,492",53,"49,954,576","357,953","145,539",0,0,,,,,,,,,,,,,,,,"6,094,080","237,996","117,948",14,"7,209","333,174","365,481","2,068,118,627,706","10,438,299,692","5,728,599","198,627,028,174","9,957,487,130","480,812,562","68,635","66,867",,,,,,,,,,,,,,,
Period Ending  3/31/2012,Commercial Residential - Allied Lines (Excl Condo Associations),"1,057",14,59,0,0,68,41,"2,976,904,767","11,654,573","1,016","220,315,803","10,940,674","713,899",0,0,,,,,,,,,,,,,,,,"6,094,080","237,996","117,948",14,"7,209","333,174","365,481","2,068,118,627,706","10,438,299,692","5,728,599","198,627,028,174","9,957,487,130","480,812,562","68,635","66,867",,,,,,,,,,,,,,,
Period Ending  3/31/2012,Commercial Residential - CMP (Condo Associations Only),"8,139",257,"1,015",0,0,"1,275","2,108","75,504,909,020","397,948,493","6,031","13,336,398,754","382,197,832","15,750,661",0,3,,,,,,,,,,,,,,,,"6,094,080","237,996","117,948",14,"7,209","333,174","365,481","2,068,118,627,706","10,438,299,692","5,728,599","198,627,028,174","9,957,487,130","480,812,562","68,635","66,867",,,,,,,,,,,,,,,
Period Ending  3/31/2012,Commercial Residential - CMP (Excl Condo Associations),"45,365","1,698",818,0,436,435,"6,261","15,567,965,877","79,469,415","39,104","1,354,068,935","65,972,745","13,496,670",14,15,,,,,,,,,,,,,,,,"6,094,080","237,996","117,948",14,"7,209","333,174","365,481","2,068,118,627,706","10,438,299,692","5,728,599","198,627,028,174","9,957,487,130","480,812,562","68,635","66,867",,,,,,,,,,,,,,,
Period Ending  3/31/2012,Commercial Residential - Dwelling/Fire (Condo Associations Only),"5,531",60,251,0,0,229,195,"48,112,847,494","248,336,173","5,336","722,785,900","247,029,372","1,306,801",0,0,,,,,,,,,,,,,,,,"6,094,080","237,996","117,948",14,"7,209","333,174","365,481","2,068,118,627,706","10,438,299,692","5,728,599","198,627,028,174","9,957,487,130","480,812,562","68,635","66,867",,,,,,,,,,,,,,,
Period Ending  3/31/2012,Commercial Residential - Dwelling/Fire (Excl Condo Associations),"3,380",69,135,0,0,159,179,"11,456,201,387","57,287,776","3,201","561,318,408","56,482,922","804,854",1,1,,,,,,,,,,,,,,,,"6,094,080","237,996","117,948",14,"7,209","333,174","365,481","2,068,118,627,706","10,438,299,692","5,728,599","198,627,028,174","9,957,487,130","480,812,562","68,635","66,867",,,,,,,,,,,,,,,
Period Ending  3/31/2012,Personal Residential - Allied Lines,"51,717","3,492",317,0,0,"3,304","1,660","8,136,516,870","56,436,730","50,057","2,472,751,552","49,388,659","7,048,071",0,0,,,,,,,,,,,,,,,,"6,094,080","237,996","117,948",14,"7,209","333,174","365,481","2,068,118,627,706","10,438,299,692","5,728,599","198,627,028,174","9,957,487,130","480,812,562","68,635","66,867",,,,,,,,,,,,,,,
