textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2014-12/31/2014), Quarter 3 (07/01/2014-09/30/2014), Quarter 2 (04/01/2014-06/30/2014), Quarter 1 (01/01/2014-03/31/2014)",All,All,All,2/16/2026 3:17:07 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,SumLawsuitsClosedTot,SumLawsuitsClosedCon,SumLawsuitsOpenBegin,SumLawsuitsOpenEnd,SumLawsuitsOpenTot,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1,Textbox104,Textbox158,Textbox151,Textbox140,Textbox122
Period Ending  3/31/2014,Commercial Residential - (Apartment Buildings) - WIND ONLY,"3,919",164,46,0,0,45,0,"3,939,125,693","28,187,587","3,919",0,"28,187,587",0,4,2,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Commercial Residential - (Condo Associations Only) - WIND ONLY,"6,118",92,178,0,0,168,0,"42,717,991,727","193,490,397","6,118",0,"193,490,397",0,25,0,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Commercial Residential - (Homeowners Association) - WIND ONLY,351,15,7,0,0,18,0,"1,277,984,058","5,423,293",351,0,"5,423,293",0,0,0,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Commercial Residential - Allied Lines (Condo Associations Only),2,0,0,0,0,0,2,0,"11,159",0,"19,802,680",0,"11,159",0,0,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Commercial Residential - Allied Lines (Excl Condo Associations),625,10,57,0,0,13,2,"1,926,831,146","9,325,257",623,"1,302,360","9,320,459","4,798",0,0,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Commercial Residential - CMP (Condo Associations Only),"8,722",287,"1,202",0,0,"1,525","1,773","78,732,895,179","461,882,588","6,949","12,397,563,993","447,536,748","14,345,840",0,0,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Commercial Residential - CMP (Excl Condo Associations),"7,476",525,106,0,0,250,"1,400","7,679,336,621","46,665,583","6,076","1,666,020,323","40,971,554","5,694,029",20,17,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Commercial Residential - Dwelling/Fire (Condo Associations Only),"4,717",201,45,0,0,48,164,"41,961,272,303","232,780,334","4,553","419,772,309","232,080,085","700,249",0,0,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Commercial Residential - Dwelling/Fire (Excl Condo Associations),"3,013",105,50,0,0,57,155,"9,787,974,663","54,257,502","2,858","302,875,000","53,780,298","477,204",0,1,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Personal Residential - Allied Lines,"47,300","2,828",293,0,0,"2,540",859,"7,727,187,167","62,292,104","46,441","2,484,155,746","54,897,306","7,394,798",0,0,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Personal Residential - Allied Lines - WIND ONLY DWELLINGS,"24,699",318,703,0,0,784,0,"8,049,383,753","46,637,569","24,699",0,"46,637,569",0,0,1,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Personal Residential - Condominium Unit Owners,"752,596","28,812","9,009",0,33,"38,014","92,119","70,058,460,476","703,809,471","660,477","17,645,642,196","632,007,329","71,802,142","8,251","7,676",,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Personal Residential - Condominium Unit Owners - WIND ONLY,"59,249",717,"1,801",0,0,"1,658",0,"9,938,782,058","57,640,520","59,249",0,"57,640,520",0,98,395,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Personal Residential - Dwelling/Fire,"778,740","23,830","21,337",0,44,"50,503","55,070","149,902,173,388","960,555,615","723,670","14,714,813,549","910,778,041","49,777,574","31,917","38,869",,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Personal Residential - Dwelling/Fire - Mobile Homeowners,"57,119",739,"3,380",0,0,"2,024","1,944","1,884,849,765","32,150,973","55,175","51,405,655","31,818,877","332,096","8,289",224,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY,544,6,22,0,0,13,0,"20,661,800","453,941",544,0,"453,941",0,0,0,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Personal Residential - Farmowners,"2,776",45,29,0,0,80,6,"1,415,363,852","10,259,386","2,770","6,202,355","10,224,629","34,757",17,16,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied,"3,160,118","111,034","49,300",701,"1,313","169,944","162,290","1,327,636,579,611","6,859,558,181","2,997,828","118,458,127,715","6,581,956,648","277,601,532","67,104","64,872",,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY,"139,278","1,424","4,225",0,0,"2,844",0,"70,110,424,013","383,106,781","139,278",0,"383,106,781",0,171,849,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Personal Residential - Mobile Homeowners,"262,862","9,217","5,713",13,83,"12,205","11,698","21,771,900,539","275,102,245","251,164","796,501,044","270,643,466","4,458,779","1,169","1,681",,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
Period Ending  3/31/2014,Personal Residential - Mobile Homeowners - WIND ONLY,"5,445",53,256,0,0,107,0,"284,564,730","5,049,956","5,445",0,"5,049,956",0,0,0,,,,,,,,,,,,,,,,"5,730,202","231,860","99,818",714,"1,473","346,576","335,899","1,867,834,694,467","10,531,069,714","5,394,303","169,539,522,189","10,095,602,131","435,467,583","119,198","116,684",,,,,,,,,,,,,,,
